,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
355,muleba,tz,25.2,78,32,3.02,-1.84,31.66
356,clinton,us,20.26,94,90,4.6,30.87,-91.02
357,itaituba,br,30,74,40,1.22,-4.26,-55.99
358,soyo,ao,32.65,46,12,4.52,-6.13,12.37
359,saldanha,za,25,31,0,6.2,-33.01,17.94
360,jamestown,us,-4.63,37,1,8.2,41.5,-71.37
361,rio bravo,mx,20.99,94,90,3.6,27.36,-99.48
362,nantucket,us,-4.79,34,1,5.7,41.28,-70.1
363,muli,mv,29.65,98,0,4.32,2.92,73.57
364,vao,nc,24.8,100,44,6.42,-22.67,167.48
365,lensk,ru,-18.25,77,20,1.57,60.71,114.91
366,aleksandrov gay,ru,-1.85,100,92,8.37,50.14,48.57
367,aloleng,ph,26.75,97,8,2.37,16.13,119.78
368,santiago del estero,ar,33.75,58,0,1.62,-27.8,-64.26
369,port hedland,au,29,74,32,2.6,-20.31,118.58
370,aswan,eg,35,6,0,4.6,24.09,32.9
371,teresina,br,31.1,74,24,2.77,-5.09,-42.81
372,auki,sb,25.9,100,64,0.17,-8.77,160.7
373,andros town,bs,24,64,20,2.1,24.73,-77.79
374,coolum beach,au,23.35,100,92,1.87,-26.53,153.09
375,sobinka,ru,-10.5,77,12,4.47,55.99,40.02
376,miraflores,co,13.85,89,80,0.97,5.2,-73.14
377,darnah,ly,16.55,100,0,9.22,32.77,22.64
378,half moon bay,us,4.22,93,1,1.07,37.46,-122.43
379,lebyazhye,ru,0,90,75,9,59.96,29.42
380,brae,gb,4,51,0,3.6,60.4,-1.35
381,saquena,pe,27.25,88,92,1.67,-4.67,-73.52
382,pteleos,gr,19.97,31,20,6.2,39.05,22.95
383,yuksekova,tr,14,35,0,3.1,37.57,44.29
384,senneterre,ca,-18,59,20,3.6,48.39,-77.24
385,ekhabi,ru,-19.9,78,0,4.22,53.51,142.97
386,ganzhou,cn,19.5,91,76,1.22,25.86,114.93
387,marsala,it,16.52,82,20,7.7,37.8,12.44
388,moose factory,ca,-19,64,1,4.1,51.26,-80.61
389,cairns,au,26,88,20,4.6,-16.92,145.77
390,okhotsk,ru,-10.5,94,68,2.47,59.36,143.24
391,karratha,au,29.15,43,0,3.92,-20.74,116.85
392,juruti,br,28.95,75,56,1.32,-2.16,-56.09
393,swan hill,au,10.05,69,0,3.02,-35.34,143.56
394,vikindu,tz,30,74,40,4.1,-6.98,39.3
395,acari,pe,24.05,49,0,1.32,-15.44,-74.62
396,guerrero negro,mx,14.05,94,88,4.22,27.97,-114.04
397,garrel,de,1.33,24,0,9.3,52.96,8.02
398,batsfjord,no,-7,85,20,8.7,70.63,29.72
399,sistranda,no,2,93,75,15.9,63.73,8.83
400,dubbo,au,23,40,0,3.6,-32.25,148.6
401,utica,us,-10,56,1,2.52,43.1,-75.23
402,bilibino,ru,-24.7,56,56,2.12,68.06,166.44
403,severnyy-kospashskiy,ru,-13.35,79,68,4.57,59.09,57.8
404,rio gallegos,ar,14,64,75,7.2,-51.62,-69.22
405,lazarev,ru,-16.1,84,8,4.32,52.23,141.51
406,akureyri,is,6,70,20,4.1,65.68,-18.09
407,waingapu,id,22.65,97,68,1.67,-9.65,120.26
408,putyatino,ru,-14.15,79,0,3.32,54.16,41.12
409,strezhevoy,ru,-3,63,88,2,60.73,77.6
410,troitskiy,ru,17,55,0,7,45.15,38.14
411,dharchula,in,1.1,57,0,0.87,29.85,80.53
412,noumea,nc,23,94,90,1,-22.28,166.46
413,port lincoln,au,17.5,93,44,6.52,-34.72,135.86
414,thompson,ca,-21,76,75,3.6,55.74,-97.86
415,zhengjiatun,cn,-1.55,72,0,4.77,43.51,123.51
416,antofagasta,cl,19,72,20,4.1,-23.65,-70.4
417,huarmey,pe,24.55,59,8,1.52,-10.07,-78.15
418,schruns,at,2.02,89,75,3.6,47.08,9.92
419,hervey bay,au,25.35,96,88,3.07,-25.3,152.85
420,xinyu,cn,14.3,100,92,2.67,27.8,114.93
421,payakumbuh,id,22.9,91,12,0.97,-0.23,100.63
422,hun,ly,24.25,15,0,2.12,29.13,15.95
423,zhicheng,cn,5.25,89,68,1.62,35.04,112.59
424,bam,ir,16.05,23,80,2.22,29.11,58.36
425,bokoro,td,39.9,11,0,2.67,12.38,17.06
426,rafsanjan,ir,8.45,39,8,2.77,30.4,55.99
427,abrau-dyurso,ru,17,55,0,7,44.7,37.6
428,awbari,ly,25.7,8,0,1.97,26.59,12.77
429,innisfail,au,22.55,95,92,1.07,-17.52,146.03
430,biak,id,26.7,96,88,0.87,-0.91,122.88
431,buraydah,sa,27,24,5,2.6,26.33,43.97
432,hay river,ca,-9,78,40,2.1,60.82,-115.79
433,tommot,ru,-18.15,63,48,3.12,58.97,126.27
434,ust-kulom,ru,-17.55,62,32,1.42,61.69,53.69
435,kingaroy,au,18.8,94,36,2.32,-26.54,151.84
436,menomonie,us,-3.7,79,40,2.07,44.88,-91.92
437,saint-pierre,pm,0,100,75,12.9,46.77,-56.17
438,oksfjord,no,-2.7,100,75,11.3,70.24,22.35
439,olinda,br,29.4,62,40,2.1,-22.82,-43.41
440,ambon,id,27.75,100,80,2.12,-3.7,128.18
441,san andres,co,26,83,75,2.6,8.22,-76.58
